ResourceSpeciesID,ConsumerSpeciesID,Type,System
6,94,Feeding,BSQ
12,111,Feeding,BSQ
6,114,Feeding,BSQ
10,114,Feeding,BSQ
14,114,Feeding,BSQ
15,114,Feeding,BSQ
16,114,Feeding,BSQ
20,114,Feeding,BSQ
24,114,Feeding,BSQ
25,114,Feeding,BSQ
26,114,Feeding,BSQ
29,114,Feeding,BSQ
34,114,Feeding,BSQ
35,114,Feeding,BSQ
36,114,Feeding,BSQ
37,114,Feeding,BSQ
38,114,Feeding,BSQ
39,114,Feeding,BSQ
40,114,Feeding,BSQ
41,114,Feeding,BSQ
42,114,Feeding,BSQ
43,114,Feeding,BSQ
45,114,Feeding,BSQ
48,114,Feeding,BSQ
53,114,Feeding,BSQ
66,114,Feeding,BSQ
75,114,Feeding,BSQ
77,114,Feeding,BSQ
79,114,Feeding,BSQ
82,114,Feeding,BSQ
91,114,Feeding,BSQ
96,114,Feeding,BSQ
97,114,Feeding,BSQ
98,114,Feeding,BSQ
101,114,Feeding,BSQ
105,114,Feeding,BSQ
107,114,Feeding,BSQ
94,114,Feeding,BSQ
94,114,Feeding,BSQ
10,118,Feeding,BSQ
21,118,Feeding,BSQ
24,118,Feeding,BSQ
25,118,Feeding,BSQ
26,118,Feeding,BSQ
29,118,Feeding,BSQ
34,118,Feeding,BSQ
36,118,Feeding,BSQ
37,118,Feeding,BSQ
38,118,Feeding,BSQ
39,118,Feeding,BSQ
40,118,Feeding,BSQ
41,118,Feeding,BSQ
42,118,Feeding,BSQ
43,118,Feeding,BSQ
45,118,Feeding,BSQ
66,118,Feeding,BSQ
92,118,Feeding,BSQ
104,118,Feeding,BSQ
21,119,Feeding,BSQ
24,119,Feeding,BSQ
25,119,Feeding,BSQ
26,119,Feeding,BSQ
29,119,Feeding,BSQ
34,119,Feeding,BSQ
36,119,Feeding,BSQ
37,119,Feeding,BSQ
38,119,Feeding,BSQ
39,119,Feeding,BSQ
40,119,Feeding,BSQ
41,119,Feeding,BSQ
42,119,Feeding,BSQ
43,119,Feeding,BSQ
45,119,Feeding,BSQ
66,119,Feeding,BSQ
89,119,Feeding,BSQ
91,119,Feeding,BSQ
96,119,Feeding,BSQ
97,119,Feeding,BSQ
98,119,Feeding,BSQ
100,119,Feeding,BSQ
101,119,Feeding,BSQ
103,119,Feeding,BSQ
104,119,Feeding,BSQ
105,119,Feeding,BSQ
107,119,Feeding,BSQ
108,119,Feeding,BSQ
110,119,Feeding,BSQ
10,121,Feeding,BSQ
24,121,Feeding,BSQ
25,121,Feeding,BSQ
26,121,Feeding,BSQ
29,121,Feeding,BSQ
34,121,Feeding,BSQ
35,121,Feeding,BSQ
36,121,Feeding,BSQ
37,121,Feeding,BSQ
38,121,Feeding,BSQ
39,121,Feeding,BSQ
40,121,Feeding,BSQ
41,121,Feeding,BSQ
42,121,Feeding,BSQ
43,121,Feeding,BSQ
45,121,Feeding,BSQ
24,121,Feeding,BSQ
25,121,Feeding,BSQ
26,121,Feeding,BSQ
29,121,Feeding,BSQ
34,121,Feeding,BSQ
36,121,Feeding,BSQ
37,121,Feeding,BSQ
38,121,Feeding,BSQ
39,121,Feeding,BSQ
40,121,Feeding,BSQ
41,121,Feeding,BSQ
42,121,Feeding,BSQ
43,121,Feeding,BSQ
45,121,Feeding,BSQ
53,121,Feeding,BSQ
66,121,Feeding,BSQ
75,121,Feeding,BSQ
76,121,Feeding,BSQ
89,121,Feeding,BSQ
91,121,Feeding,BSQ
92,121,Feeding,BSQ
96,121,Feeding,BSQ
97,121,Feeding,BSQ
98,121,Feeding,BSQ
100,121,Feeding,BSQ
101,121,Feeding,BSQ
103,121,Feeding,BSQ
104,121,Feeding,BSQ
105,121,Feeding,BSQ
107,121,Feeding,BSQ
108,121,Feeding,BSQ
110,121,Feeding,BSQ
86,121,Feeding,BSQ
90,121,Feeding,BSQ
94,121,Feeding,BSQ
10,122,Feeding,BSQ
88,122,Feeding,BSQ
89,122,Feeding,BSQ
91,122,Feeding,BSQ
96,122,Feeding,BSQ
97,122,Feeding,BSQ
98,122,Feeding,BSQ
100,122,Feeding,BSQ
101,122,Feeding,BSQ
103,122,Feeding,BSQ
105,122,Feeding,BSQ
107,122,Feeding,BSQ
108,122,Feeding,BSQ
109,122,Feeding,BSQ
110,122,Feeding,BSQ
94,122,Feeding,BSQ
94,122,Feeding,BSQ
